,DIPUTADO,BLOQUE,PROVINCIA,¿CÓMO VOTÓ?
0,"ACEVEDO, SERGIO EDGARDO",Por Santa Cruz,Santa Cruz,NEGATIVO
1,"AGOST CARREÑO, OSCAR",Encuentro Federal,Córdoba,AFIRMATIVO
2,"AGUIRRE, HILDA",Union Por La Patria,La Rioja,NEGATIVO
3,"AGUIRRE, MANUEL IGNACIO",Democracia Para Siempre,Corrientes,AFIRMATIVO
4,"AJMECHET, SABRINA",Pro,C.A.B.A.,AFIRMATIVO
5,"ALI, ERNESTO ""PIPI""",Union Por La Patria,San Luis,NEGATIVO
6,"ALIANIELLO, EUGENIA",Union Por La Patria,Chubut,NEGATIVO
7,"ALLENDE, WALBERTO",Union Por La Patria,San Juan,AUSENTE
8,"ALMIRON, LISANDRO",La Libertad Avanza,Corrientes,AFIRMATIVO
9,"ALONSO, CONSTANZA MARIA",Union Por La Patria,Buenos Aires,NEGATIVO
10,"ANSALONI, PABLO",La Libertad Avanza,Buenos Aires,AFIRMATIVO
11,"ANTOLA, MARCELA",Democracia Para Siempre,Entre Ríos,AFIRMATIVO
12,"ARABIA, DAMIAN",Pro,C.A.B.A.,AFIRMATIVO
13,"ARANCIBIA RODRIGUEZ, ALBERTO GUSTAVO",La Libertad Avanza,San Luis,AFIRMATIVO
14,"ARAUJO HERNANDEZ, JORGE NERI",Union Por La Patria,Tierra del Fuego,NEGATIVO
15,"ARAUJO, MARIA FERNANDA",La Libertad Avanza,C.A.B.A.,AFIRMATIVO
16,"ARDOHAIN, MARTIN",Pro,La Pampa,AFIRMATIVO
17,"ARJOL, MARTIN",Ucr - Union Civica Radical,Misiones,AFIRMATIVO
18,"ARRIETA, LOURDES MICAELA",Fuerzas Del Cielo - Espacio Liberal F.c.e,Mendoza,AFIRMATIVO
19,"ARROYO, DANIEL",Union Por La Patria,Buenos Aires,NEGATIVO
20,"ARRUA, ALBERTO",Innovacion Federal,Misiones,AFIRMATIVO
21,"AUBONE, ANA FABIOLA",Union Por La Patria,San Juan,NEGATIVO
22,"AVEIRO, MARTIN",Union Por La Patria,Mendoza,NEGATIVO
23,"AVICO, BELEN",Pro,Córdoba,AFIRMATIVO
24,"AVILA, FERNANDA",Union Por La Patria,Catamarca,NEGATIVO
25,"AVILA, JORGE ANTONIO",Encuentro Federal,Chubut,AUSENTE
26,"BACHEY, KARINA ETHEL",Pro,San Luis,AFIRMATIVO
27,"BALDASSI, HECTOR W.",Pro,Córdoba,AFIRMATIVO
28,"BALLEJOS, NANCY",Pro,Entre Ríos,AFIRMATIVO
29,"BANFI, KARINA",Ucr - Union Civica Radical,Buenos Aires,AFIRMATIVO
30,"BARLETTA, MARIO",Unidos,Santa Fe,AUSENTE
31,"BASTERRA, LUIS EUGENIO",Union Por La Patria,Formosa,NEGATIVO
32,"BENEDETTI, ATILIO",Ucr - Union Civica Radical,Entre Ríos,AFIRMATIVO
33,"BENEDIT, BELTRAN",La Libertad Avanza,Entre Ríos,AFIRMATIVO
34,"BENEGAS LYNCH, BERTIE",La Libertad Avanza,Buenos Aires,AFIRMATIVO
35,"BERMEJO, ADOLFO",Union Por La Patria,Mendoza,NEGATIVO
36,"BERTOLDI, TANYA",Union Por La Patria,Neuquén,AUSENTE
37,"BESANA, GABRIELA",Pro,Buenos Aires,AFIRMATIVO
38,"BIANCHETTI, EMMANUEL",Pro,Misiones,AFIRMATIVO
39,"BIASI, VANINA",Partido Obrero -frente De Izquierda Y De Trabajadores -unidad,C.A.B.A.,NEGATIVO
40,"BONACCI, ROCIO",La Libertad Avanza,Santa Fe,AFIRMATIVO
41,"BONGIOVANNI, ALEJANDRO",Pro,Santa Fe,AFIRMATIVO
42,"BORDET, GUSTAVO",Union Por La Patria,Entre Ríos,NEGATIVO
43,"BORNORONI, GABRIEL",La Libertad Avanza,Córdoba,AFIRMATIVO
44,"BORREGO, VICTORIA",Coalicion Civica,Buenos Aires,AFIRMATIVO
45,"BRAMBILLA, SOFIA",Pro,Corrientes,AFIRMATIVO
46,"BROUWER DE KONING, GABRIELA",Ucr - Union Civica Radical,Córdoba,AFIRMATIVO
47,"BRUGGE, JUAN FERNANDO",Encuentro Federal,Córdoba,AFIRMATIVO
48,"CAFIERO, SANTIAGO",Union Por La Patria,Buenos Aires,NEGATIVO
49,"CALLETTI, PAMELA",Innovacion Federal,Salta,AFIRMATIVO
50,"CAMPAGNOLI, MARCELA",Coalicion Civica,Buenos Aires,AFIRMATIVO
51,"CAMPERO, MARIANO",Ucr - Union Civica Radical,Tucumán,AFIRMATIVO
52,"CAMPITELLI, CELIA",Union Por La Patria,Santiago del Estero,NEGATIVO
53,"CAPOZZI, SERGIO EDUARDO",Pro,Rio Negro,AFIRMATIVO
54,"CARBAJAL, FERNANDO",Democracia Para Siempre,Formosa,AFIRMATIVO
55,"CARIGNANO, FLORENCIA",Union Por La Patria,Santa Fe,NEGATIVO
56,"CARRIZO, ANA CARLA",Democracia Para Siempre,C.A.B.A.,AFIRMATIVO
57,"CARRIZO, SOLEDAD",Ucr - Union Civica Radical,Córdoba,AUSENTE
58,"CARRO, PABLO",Union Por La Patria,Córdoba,NEGATIVO
59,"CASAS, SERGIO GUILLERMO",Union Por La Patria,La Rioja,NEGATIVO
60,"CASTAGNETO, CARLOS DANIEL",Union Por La Patria,Buenos Aires,NEGATIVO
61,"CASTILLO, CHRISTIAN",Pts-frente De Izquierda Unidad,Buenos Aires,NEGATIVO
62,"CERVI, PABLO",Ucr - Union Civica Radical,Neuquén,AFIRMATIVO
63,"CHAHER, LEILA",Union Por La Patria,Jujuy,NEGATIVO
64,"CHICA, JORGE",Union Por La Patria,San Juan,NEGATIVO
65,"CHOMIAK, MARIA LUISA",Union Por La Patria,Chaco,NEGATIVO
66,"CHUMPITAZ, GABRIEL FELIPE",Pro,Santa Fe,AFIRMATIVO
67,"CIPOLINI, GERARDO",Ucr - Union Civica Radical,Chaco,AFIRMATIVO
68,"CISNEROS, CARLOS",Union Por La Patria,Tucumán,AUSENTE
69,"COBOS, JULIO",Ucr - Union Civica Radical,Mendoza,AFIRMATIVO
70,"COLETTA, MARIELA",Democracia Para Siempre,C.A.B.A.,AFIRMATIVO
71,"COLI, MARCELA",Democracia Para Siempre,La Pampa,AFIRMATIVO
72,"CORREA LLANO, FACUNDO",La Libertad Avanza,Mendoza,AFIRMATIVO
73,"D'ALESSANDRO, CARLOS",La Libertad Avanza,San Luis,AFIRMATIVO
74,"DAIVES, RICARDO",Union Por La Patria,Santiago del Estero,NEGATIVO
75,"DE LA SOTA, NATALIA",Encuentro Federal,Córdoba,AUSENTE
76,"DE LOREDO, RODRIGO",Ucr - Union Civica Radical,Córdoba,AFIRMATIVO
77,"DE SENSI, MARIA FLORENCIA",Pro,Buenos Aires,AFIRMATIVO
78,"DEL CAÑO, NICOLAS",Pts-frente De Izquierda Unidad,Buenos Aires,NEGATIVO
79,"DIEZ, ROMINA",La Libertad Avanza,Santa Fe,AFIRMATIVO
80,"DOMINGO, AGUSTIN",Innovacion Federal,Rio Negro,AFIRMATIVO
81,"EMMA, NICOLAS",La Libertad Avanza,C.A.B.A.,AFIRMATIVO
82,"ESPERT, JOSE LUIS",La Libertad Avanza,Buenos Aires,AFIRMATIVO
83,"ESTEVEZ, GABRIELA BEATRIZ",Union Por La Patria,Córdoba,NEGATIVO
84,"ESTRADA, EMILIANO",Union Por La Patria,Salta,NEGATIVO
85,"FALCONE, EDUARDO",Mid - Movimiento De Integracion Y Desarrollo,Buenos Aires,AFIRMATIVO
86,"FEIN, MONICA",Encuentro Federal,Santa Fe,AFIRMATIVO
87,"FERNANDEZ MOLERO, DAIANA",Pro,C.A.B.A.,AFIRMATIVO
88,"FERNANDEZ PATRI, RAMIRO",Union Por La Patria,Formosa,NEGATIVO
89,"FERNANDEZ, AGUSTIN",Independencia,Tucumán,AFIRMATIVO
90,"FERNANDEZ, CARLOS ALBERTO",Innovacion Federal,Misiones,AFIRMATIVO
91,"FERNANDEZ, ELIA MARINA",Independencia,Tucumán,AFIRMATIVO
92,"FERRARO, MAXIMILIANO",Coalicion Civica,C.A.B.A.,AFIRMATIVO
93,"FERREYRA, ALIDA",La Libertad Avanza,C.A.B.A.,AFIRMATIVO
94,"FIGUEROA CASAS, GERMANA",Pro,Santa Fe,AFIRMATIVO
95,"FINOCCHIARO, ALEJANDRO",Pro,Buenos Aires,AFIRMATIVO
96,"FRADE, MONICA",Coalicion Civica,Buenos Aires,AFIRMATIVO
97,"FREITES, ANDREA",Union Por La Patria,Tierra del Fuego,NEGATIVO
98,"GAILLARD, ANA CAROLINA",Union Por La Patria,Entre Ríos,NEGATIVO
99,"GARCIA ARESCA, IGNACIO",Encuentro Federal,Córdoba,AFIRMATIVO
100,"GARCIA, CARLOS",La Libertad Avanza,Chaco,AFIRMATIVO
101,"GARRAMUÑO, RICARDO",Somos Fueguinos,Tierra del Fuego,AFIRMATIVO
102,"GARRIDO, JOSE LUIS",Por Santa Cruz,Santa Cruz,AUSENTE
103,"GINOCCHIO, SILVANA MICAELA",Union Por La Patria,Catamarca,NEGATIVO
104,"GIORGI, MELINA",Democracia Para Siempre,Santa Fe,AFIRMATIVO
105,"GIUDICI, SILVANA",Pro,C.A.B.A.,AFIRMATIVO
106,"GIULIANO, DIEGO A.",Union Por La Patria,Santa Fe,NEGATIVO
107,"GLINSKI, JOSE",Union Por La Patria,Chubut,NEGATIVO
108,"GOLLAN, DANIEL",Union Por La Patria,Buenos Aires,AUSENTE
109,"GOMEZ, JOSE",Union Por La Patria,Santiago del Estero,AUSENTE
110,"GONZALEZ, ALVARO",Pro,C.A.B.A.,AFIRMATIVO
111,"GONZALEZ, GERARDO GUSTAVO",La Libertad Avanza,Formosa,AFIRMATIVO
112,"GONZALEZ, GUSTAVO CARLOS MIGUEL",Union Por La Patria,Santa Cruz,NEGATIVO
113,"GUTIERREZ, CARLOS",Encuentro Federal,Córdoba,AUSENTE
114,"GUTIERREZ, RAMIRO",Union Por La Patria,Buenos Aires,NEGATIVO
115,"HAGMAN, ITAI",Union Por La Patria,C.A.B.A.,NEGATIVO
116,"HELLER, CARLOS",Union Por La Patria,C.A.B.A.,NEGATIVO
117,"HERRERA, BERNARDO JOSE",Union Por La Patria,Santiago del Estero,NEGATIVO
118,"HERRERA, RICARDO",Union Por La Patria,La Rioja,NEGATIVO
119,"HUESEN, GERARDO",La Libertad Avanza,Tucumán,AFIRMATIVO
120,"IANNI, ANA MARIA",Union Por La Patria,Santa Cruz,NEGATIVO
121,"IBAÑEZ, MARIA CECILIA",Mid - Movimiento De Integracion Y Desarrollo,Córdoba,AFIRMATIVO
122,"IGLESIAS, FERNANDO ADOLFO",Pro,C.A.B.A.,AFIRMATIVO
123,"IPARRAGUIRRE, ROGELIO",Union Por La Patria,Buenos Aires,NEGATIVO
124,"JULIANO, PABLO",Democracia Para Siempre,Buenos Aires,AFIRMATIVO
125,"KIRCHNER, MAXIMO CARLOS",Union Por La Patria,Buenos Aires,NEGATIVO
