"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ACEVEDO, SERGIO EDGARDO","Por Santa Cruz","Santa Cruz","NEGATIVO"
"AGOST CARREÑO, OSCAR","Encuentro Federal","Córdoba","AFIRMATIVO"
"AGUIRRE, HILDA","Union Por La Patria","La Rioja","NEGATIVO"
"AGUIRRE, MANUEL IGNACIO","Democracia Para Siempre","Corrientes","AFIRMATIVO"
"AJMECHET, SABRINA","Pro","C.A.B.A.","AFIRMATIVO"
"ALI, ERNESTO ""PIPI""","Union Por La Patria","San Luis","NEGATIVO"
"ALIANIELLO, EUGENIA","Union Por La Patria","Chubut","NEGATIVO"
"ALLENDE, WALBERTO","Union Por La Patria","San Juan","AUSENTE"
"ALMIRON, LISANDRO","La Libertad Avanza","Corrientes","AFIRMATIVO"
"ALONSO, CONSTANZA MARIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"ANSALONI, PABLO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"ANTOLA, MARCELA","Democracia Para Siempre","Entre Ríos","AFIRMATIVO"
"ARABIA, DAMIAN","Pro","C.A.B.A.","AFIRMATIVO"
"ARANCIBIA RODRIGUEZ, ALBERTO GUSTAVO","La Libertad Avanza","San Luis","AFIRMATIVO"
"ARAUJO HERNANDEZ, JORGE NERI","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"ARAUJO, MARIA FERNANDA","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ARDOHAIN, MARTIN","Pro","La Pampa","AFIRMATIVO"
"ARJOL, MARTIN","Ucr - Union Civica Radical","Misiones","AFIRMATIVO"
"ARRIETA, LOURDES MICAELA","Fuerzas Del Cielo - Espacio Liberal F.c.e","Mendoza","AFIRMATIVO"
"ARROYO, DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"ARRUA, ALBERTO","Innovacion Federal","Misiones","AFIRMATIVO"
"AUBONE, ANA FABIOLA","Union Por La Patria","San Juan","NEGATIVO"
"AVEIRO, MARTIN","Union Por La Patria","Mendoza","NEGATIVO"
"AVICO, BELEN","Pro","Córdoba","AFIRMATIVO"
"AVILA, FERNANDA","Union Por La Patria","Catamarca","NEGATIVO"
"AVILA, JORGE ANTONIO","Encuentro Federal","Chubut","AUSENTE"
"BACHEY, KARINA ETHEL","Pro","San Luis","AFIRMATIVO"
"BALDASSI, HECTOR W.","Pro","Córdoba","AFIRMATIVO"
"BALLEJOS, NANCY","Pro","Entre Ríos","AFIRMATIVO"
"BANFI, KARINA","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"BARLETTA, MARIO","Unidos","Santa Fe","AUSENTE"
"BASTERRA, LUIS EUGENIO","Union Por La Patria","Formosa","NEGATIVO"
"BENEDETTI, ATILIO","Ucr - Union Civica Radical","Entre Ríos","AFIRMATIVO"
"BENEDIT, BELTRAN","La Libertad Avanza","Entre Ríos","AFIRMATIVO"
"BENEGAS LYNCH, BERTIE","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"BERMEJO, ADOLFO","Union Por La Patria","Mendoza","NEGATIVO"
"BERTOLDI, TANYA","Union Por La Patria","Neuquén","AUSENTE"
"BESANA, GABRIELA","Pro","Buenos Aires","AFIRMATIVO"
"BIANCHETTI, EMMANUEL","Pro","Misiones","AFIRMATIVO"
"BIASI, VANINA","Partido Obrero -frente De Izquierda Y De Trabajadores -unidad","C.A.B.A.","NEGATIVO"
"BONACCI, ROCIO","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"BONGIOVANNI, ALEJANDRO","Pro","Santa Fe","AFIRMATIVO"
"BORDET, GUSTAVO","Union Por La Patria","Entre Ríos","NEGATIVO"
"BORNORONI, GABRIEL","La Libertad Avanza","Córdoba","AFIRMATIVO"
"BORREGO, VICTORIA","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"BRAMBILLA, SOFIA","Pro","Corrientes","AFIRMATIVO"
"BROUWER DE KONING, GABRIELA","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"BRUGGE, JUAN FERNANDO","Encuentro Federal","Córdoba","AFIRMATIVO"
"CAFIERO, SANTIAGO","Union Por La Patria","Buenos Aires","NEGATIVO"
"CALLETTI, PAMELA","Innovacion Federal","Salta","AFIRMATIVO"
"CAMPAGNOLI, MARCELA","Coalicion Civica","Buenos Aires","AFIRMATIVO"
"CAMPERO, MARIANO","Ucr - Union Civica Radical","Tucumán","AFIRMATIVO"
"CAMPITELLI, CELIA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"CAPOZZI, SERGIO EDUARDO","Pro","Rio Negro","AFIRMATIVO"
"CARBAJAL, FERNANDO","Democracia Para Siempre","Formosa","AFIRMATIVO"
"CARIGNANO, FLORENCIA","Union Por La Patria","Santa Fe","NEGATIVO"
